,0,1,2,3,4,5,6
0,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定,【Web面接OK！未経験歓迎・第二新卒・ブランクのある方もOK】◆普免（AT限定可）取得後3年以上 ◎全車AT ◎二種免許の取得は全額会社負担（規定あり）,UIターン歓迎！遠方からのご応募もOK！ ※転勤なし！ ※説明会実施中 本社／京都府京都市南区西九…,月給20万円（当社規定による） （未経験者は入社後半年間、月給20万円を保証） ※一定額を上回る運送収入…,https://tenshoku.mynavi.jp/jobinfo-258808-1-10-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=2,
1,株式会社すずらん工務店 | 創業57年／自社の注文住宅ブランド「Lily's Home」が大人気！,希望や適性に応じて【営業】または【施工管理】を担当 ■営業:新規開拓&飛び込みなし！反響型営業 ■施工管理:木造住宅の新築、リフォームの現場管理,【未経験・第二新卒の方、大歓迎！】◎学歴不問 ◎要普免(AT限定可) ※知識や経験があれば活かすことができます！★意欲と人柄重視の採用をお約束。,【転勤なし＆マイカー通勤OK】 ■大阪府高槻市千代田町21-6 ※U・Iターン歓迎 ※茨木、枚方、…,■月給23万円〜40万円 《月収例(初年度)》 ・施工管理：23万円〜40万円 ・営業：23万円〜30万円+インセ…,350万円～1000万円,https://tenshoku.mynavi.jp/jobinfo-192683-1-1-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=3
2,株式会社トーウン | 【大阪府緊急雇用対策に賛同】定着率95％！希望の案件が選べる☆,【街のランドマーク・内装などを手掛けられるやりがい☆】◆官公庁やハウスメーカー、ゼネコン等の案件の施工管理をお任せ★前職の給与・待遇は優遇,【中途入社9割！未経験歓迎！一からしっかり育てます☆】◎経験・スキルは一切問いません！人柄重視採用です◎経験者は優遇◎20～30代の若手活躍中,【現場へは直行直帰/転勤・出張なし！】 ◎U・Iターン歓迎♪ 【本社】大阪府大阪市東淀川区東中島1…,《案件管理の経験者》月給35万円〜50万円+諸手当（資格手当など）+賞与 《未経験者》月給25万円〜30万円+…,400万円～700万円,https://tenshoku.mynavi.jp/jobinfo-277399-1-2-1/?ty=0&searchId=1275580333&pageNum=1&showNo=4
3,株式会社ドリームホーム | 京都屈指の業績・2019年度グループ売上高170億円！,【ノルマなし◎無理な営業禁止】来店・お問い合わせのお客様に新築・中古戸建やマンションをご紹介。※自社開発分譲地多数。街づくりにも携われる！,《勤務地は京都府のみ！》◆ 未経験者・第二新卒者大歓迎！学歴一切不問 ◆ 要普免(AT限定可) ※未経験者多数活躍中！中途入社のハンデはありません！,京都府内の店舗(13店舗)★バイク/自転車/マイカー通勤可/希望・居住地考慮 ■桂店/西京区上桂前…,"月給／22万5,000円以上 ※試用期間2ヵ月。(その間の給与変動なし) ※経験・年齢を考慮の上、当社規定によ…",300万円～500万円,https://tenshoku.mynavi.jp/jobinfo-124838-1-47-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=5
4,株式会社ジーアフター | ◆最高売上更新！注目の成長企業 ◆未経験スタートが8割以上！,【完全反響型の営業スタイル】◆中古車の販売・営業・買取業務をお任せします◆店舗からスタートし、本社、オークション等の多様なキャリアも歩めます,【未経験・第二新卒歓迎】◆40歳までの方※ ◆高卒以上 ◆要普免（AT限定可）◆人柄重視 ◆車が好きな方や店長になりたいなど意欲ある方,千葉県・埼玉県などの店舗及び事業所 初期配属は希望を考慮します！ 全国展開へ向けて積極採用中！ 【…,月給30万円〜(経験・年齢考慮)＋インセンティブ ※上記の月給には時間外労働の有無にかかわらず、45時…,400万円～600万円,https://tenshoku.mynavi.jp/jobinfo-229877-1-10-1/?ty=0&searchId=1275580333&pageNum=1&showNo=6
5,東建コーポレーション株式会社 | 土地活用でおなじみの東建です。完全週休2日制で年間休日123日！,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◎高卒以上◎未経験・異業種からの転職歓迎します！今よりもっと安定した環境で収入を上げていきたい方,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円,https://tenshoku.mynavi.jp/jobinfo-15847-1-728-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=7
6,テレック株式会社 | 従業員満足度向上のための福利厚生多数★ 産・育休制度充実,《オシャレな制服＆こだわった店舗》◆Softbankショップの受付をお任せします。 ※私用携帯はSoftBank以外の他社携帯利用OKです！,《未経験スタート大歓迎！》　◎29歳以下（若年層の長期キャリア形成を図るため）　★残業削減に努め、月平均15H以内を徹底◎,名古屋・大阪・京都・兵庫・奈良の主要駅から5分以内ばかりの各ショップ ※他府県への転勤はなし ＜名…,月給：23万円〜40万円+手当（1万円〜8万円）+歩合給＋残業代全額支給 ※入社後3ヶ月間は試用期間となりま…,350万円～550万円,https://tenshoku.mynavi.jp/jobinfo-174567-1-44-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=8
7,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,これまで物流管理と配送・設置は別々に担当してきましたが、本ポジションでは、すべてを網羅する【物流のプロフェッショナル】として育成します。,【未経験・第二新卒歓迎】■40歳未満 ■高卒以上 ★退職金制度、宿泊施設の利用など福利厚生も充実 ～転職回数やブランクは一切問いません～,◆物流の拠点「ヨドバシカメラ アッセンブリーセンター川崎」「ヨドバシカメラ 六甲アッセンブリーセン…,月給20万5000円以上＋職務手当＋超過勤務手当 ＜月収モデル＞ 大学院大学卒（月給20万5000円+諸手当／20…,300万円～500万円,https://tenshoku.mynavi.jp/jobinfo-34191-1-48-1/?ty=0&searchId=1275580333&pageNum=1&showNo=9
8,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【研修充実★未経験から着実に成長】法人クライアントを対象に、スマートフォンやタブレットをはじめとした『ソフトバンク商材』の提案営業をお任せ！,【未経験歓迎！学歴不問/第二新卒歓迎】◆35歳以下の方（※）　★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪,【全国25都道府県の販売代理店】 ★希望のエリアで働ける！ ★転勤なし！ ★U・Iターン歓迎！ 《…,"【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…",https://tenshoku.mynavi.jp/jobinfo-247235-1-44-1/?ty=0&searchId=1275580333&pageNum=1&showNo=10,
9,株式会社手なおし屋 | ★初心者大歓迎！★20～30代の中途入社スタッフが活躍中！,【住宅設備の点検やメンテナンスのご案内をお任せします】★売り込むのではなく「ご案内をするだけ」なので未経験でも大丈夫！★研修が充実！,【未経験大歓迎／性別・年齢も問いません】★普通自動車運転免許 ※必要なのはこれだけ。色んなタイプの先輩が活躍中！個性を活かして輝ける！,◎伊勢崎支店／群馬県伊勢崎市宮子町3410-3 D号 ◎太田支店／群馬県太田市浜町66-41 ◎つ…,【月給】30万円以上(一律手当含む) + インセンティブ ------------------------------------------------…,https://tenshoku.mynavi.jp/jobinfo-207975-1-6-1/msg/?ty=0&searchId=1275580333&pageNum=1&showNo=11,
